Unnamed: 0,nonsense_sentence,logical_sentence,correct_reasoning_1,correct_reasoning_2,correct_reasoning_3,wrong_reasoning_1,wrong_reasoning_2
2696,dia membeli sarung tangan untuk matanya,dia membeli sarung tangan untuk tangannya,tidak ada yang menjual sarung tangan untuk mata,Kacamata masuk mata.,Sarung tangan adalah untuk tangan,mata berwarna putih sedangkan sarung tangan biasanya hitam,dia sudah memakai kacamata di matanya
2697,Monyet bisa terbang,Burung-burung bisa terbang,"monyet tidak bisa terbang, burung bisa terbang",Monyet tidak tahu bagaimana untuk terbang.,Monyet tidak memiliki sayap untuk terbang,"burung memiliki sayap untuk terbang, monyet punya kaki untuk berjalan",Monyet lebih berat daripada burung
2698,Dia bermain gitar dengan hidungnya,Dia memainkan gitar dengan jari-jarinya,Tidak ada yang bisa bermain gitar dengan hidung,Gitar harus dimainkan dengan jari-jari yang dapat string mereka.,Gitar tidak bisa bermain dengan hidungnya.,Ada banyak string dalam gitar dan hanya satu hidung padanya,hidung terbuat dari daging dan gitar terbuat dari logam
2700,Saya naik sepeda di air,Saya mengendarai sepeda di jalan,sepeda tenggelam ke dalam air,sepeda bisa jalan di jalan,SEPEDA BUKANNYA BERADA DI AIR,sepeda saya berwarna biru dan airnya basah,sepeda tidak minum air
2702,Dia pergi untuk es krim di padang pasir.,Dia pergi untuk hiking di hutan.,Anda tidak dapat membeli es krim di padang pasir.,Tidak ada es krim di padang pasir.,Gurun akan terlalu panas untuk es krim.,Es krim meleleh dengan cepat di padang pasir.,Es krim rasanya sangat enak di gurun.
2704,Dia membayar belanjaannya dengan lumba-lumba.,Dia membayar belanjaannya dengan uang tunai.,Lumba-lumba bukan mata uang.,Bahan makanan dibayar dengan uang tunai bukan dengan lumba-lumba,Lumba-lumba bukan mata uang,Uang tunai berwarna hijau dan lumba-lumba berwarna abu-abu.,Lumba-lumba tidak bisa keluar dari air.
2705,Dia mengetik tubuhnya ke komputer,Dia mengetik esainya ke komputer,Tidak mungkin untuk mengetikkan tubuh ke komputer,tubuh bukan karakter untuk diketik,Tubuhnya tidak bisa masuk ke komputer.,Tubuh biasanya tidak termasuk dalam keyboard,Tubuh bukan komputer
2706,Dia membawa sepedanya ke dokter hewan,dia membawa anjingnya ke dokter hewan,dokter hewan memperlakukan binatang dan sepeda bukanlah binatang,Sepeda bukan binatang,Dokter hewan bukan mekanik untuk memeriksa sepedanya,Ada banyak sepeda sementara beberapa dokter hewan di kota,sepeda berjalan dengan bahan bakar sementara dokter hewan memakan makanan
2708,Mawar merah itu hijau.,Mawar merah itu indah.,Mawar merah tidak bisa hijau.,Mawar merah selalu merah.,Mawar tidak berwarna hijau,Rumput tumbuh lebih hijau di sekitar mawar merah.,Duri pada mawar juga berbau merah.
2710,Dia memberi botol pada kelinci,Dia memberi wortel pada kelinci,Kelinci tidak bisa makan botol,KELINCI TIDAK SEPERTI BOTOL,RABBIT BUKAN CARROT,Botol biasanya kelinci merah biasanya berwarna putih,Kelinci memiliki gigi tapi botol tidak memiliki
2712,Dia menuangkan singa ke dalam botol,Dia menuangkan air ke dalam botol,singa jauh lebih besar di dalam botol,LION BUKAN AIR,Anda tidak dapat menuangkan singa karena itu padat.,Singa adalah botol hewan adalah gelas,Singa tidak bisa makan botol
2713,Dia makan TV untuk sarapan,Dia makan telur untuk sarapan,TV bukan makanan,T.V terlalu sulit untuk dikunyah,TV tidak bisa dimakan.,TV menyala,TV itu bukan nirkabel
2714,Dia menempatkan mobil di mesin penjual otomatis.,Dia menempatkan koin di mesin penjual otomatis.,Mobil tidak dapat masuk ke dalam mesin penjual otomatis.,MOBIL LEBIH BESAR DARI MESIN Vending,Mobil terlalu besar untuk ditempatkan di mesin penjual otomatis.,Koin dapat ditemukan di dalam mobil.,Mobil tidak bisa memakan koin.
2715,Kereta menyukai Paul,Paul suka kereta,Kereta tidak bisa merasakan emosi,LATIHAN ADALAH TUJUAN YANG TIDAK DILAKUKAN,Kereta api tidak memiliki suka dan tidak suka.,Kereta itu lebih besar dari Paul,Kereta berwarna abu-abu sementara Paul berwarna merah muda
2716,Wanita itu memeriksa emailnya di atas kompor.,Wanita itu memeriksa emailnya di komputer.,Kompor tidak dapat digunakan untuk memeriksa email.,"Kompor digunakan untuk memasak, tidak mengirim atau menerima komunikasi.",Kompor tidak mengandung email.,Kompor sering digunakan untuk mengikuti instruksi memasak yang dikirim melalui email.,Seseorang mungkin menerima email tentang kompor mereka.
2717,Kemudi digunakan untuk mengisi ulang kendaraan,Kemudi digunakan untuk menavigasi kendaraan,Biasanya tidak perlu mengemudi untuk mendapatkan kembali,Kemudi tidak bisa mengisi ulang kendaraan.,Faucet digunakan untuk mengisi ulang kendaraan.,Semua mobil memiliki kemudi di dalamnya,Bahan bakar diperlukan untuk mengendarai kendaraan
2719,Dia diatur ke teater untuk dirawat setelah kecelakaan kebakaran,Dia dikirim ke rumah sakit untuk perawatan setelah kecelakaan kebakaran,Teater tidak memiliki dokter atau peralatan medis,Bioskop tidak dilengkapi untuk menangani korban luka bakar.,"Jika Anda menderita luka-luka dalam suatu kecelakaan mereka mengirim Anda ke rumah sakit, di sebuah teater mereka tidak akan menyembuhkan Anda",Sebuah teater biasanya terlalu berisik untuk seorang pasien,Ada berbagai jenis teater di banyak pasien di kota
2720,Saya minum hamburger saat makan malam.,Aku minum air dari gelas saat makan malam.,"Hamburger dimakan, bukan diminum.",Hamburger bukan cairan sehingga tidak bisa diranak.,Hamburger tidak dalam bentuk cair.,Airnya jernih dan hamburger tidak.,Hamburger biasanya dimakan dengan dua tangan.
2722,Dia mencuci piring di atas kompor.,Dia mencuci piring di wastafel.,Tidak ada faucet di atas kompor untuk mencuci piring.,Piring dicuci di wastafel tapi tidak di atas kompor,Tidak ada air untuk mencuci dengan di atas kompor.,Piring rapuh dan kompor kokoh.,Piring dan kompor ada di dapur.
2723,dia dikirim ke teater karena mencuri,dia dikirim ke penjara karena mencuri,teater adalah tempat hiburan dan tidak bisa menghukum orang,Teater bukan tempat hukuman.,teater bukan tempat untuk mengirim penjahat,Teater terbuat dari batu bata dan semen sementara dia adalah manusia,Teater selalu ramai dan diperlukan pemesanan tiket
2724,Dia memotong berlian dengan pisau.,Dia memotong kue dengan pisau.,Diamon terlalu sulit untuk dipotong dengan pisau.,Pisau tidak bisa memotong berlian.,berlian lebih sulit daripada pisau,Berlian mahal dan pisau tajam.,Berlian dapat memotong hal-hal yang pisau tidak bisa.
2725,ia memerintahkan ayah dari toko online,dia memesan telepon dari toko online,ayah adalah hubungan dan tidak dijual di toko-toko online,Ayah adalah suatu hubungan. Kami dapat memesan dari toko online mana saja,Toko online tidak dapat menjual orang.,ayah tidak dididik tentang toko online,toko online mengirimkan barang-barang yang tercakup dalam karton sementara ayah mengenakan gaun
2726,dia duduk di danau,dia duduk di sofa,seseorang tidak bisa duduk di danau,"Jika seseorang duduk di danau, mereka akan tenggelam",DANAU TIDAK UNTUK SIT,"dia memiliki masalah punggung, jadi dia tidak bisa duduk di danau",dia hidrofobik sehingga dia tidak bisa duduk di danau
2728,Wanita itu tidur di komputernya.,Wanita itu tidur di tempat tidurnya.,Komputer tidak cukup besar untuk orang tidur.,Komputer terlalu kecil,Komputer adalah perangkat elektronik dan tidak memiliki tempat untuk seseorang di dalamnya.,Komputer sering terletak di kamar tidur tempat orang tidur.,Komputer dapat digunakan untuk meneliti cara tidur yang lebih baik.
2729,Dia tenggelam di udara,Dia tenggelam di danau,Definisi tenggelam adalah mati dalam cairan dan udara bukanlah cairan,Menghirup udara tidak akan menyebabkan seseorang tenggelam.,Udara tidak hidup dan tidak bisa tenggelam.,Tenggelam dan udara tidak memiliki inisial yang sama,Udara tidak bisa makan seseorang
2730,Saya perlu guru untuk memperbaiki mobil saya.,Saya perlu mekanik untuk memperbaiki mobil saya.,Seorang guru tidak terlatih atau tidak memenuhi syarat untuk memperbaiki mobil.,Tugas seorang guru adalah mengajar dan tidak memperbaiki mobil.,Seorang mekanik memperbaiki mobil.,Mekanik juga diajarkan oleh guru.,"Guru adalah orang yang sangat pintar, dan harus dihormati."
2731,Dia mencium bau bulan.,Dia mencium bau keju.,Bulan terlalu jauh melintasi ruang untuk mencium.,Bulan terlalu jauh untuk dicium.,Bulan terlalu jauh untuk dicium.,Baunya bisa baik dan bulan itu padat.,Kami mencium dengan hidung kami dan bulan besar.
2732,Saya mengendarai rumah saya hari ini.,Saya mengendarai mobil saya hari ini.,"Sementara mobil dapat digunakan sebagai moda transportasi, rumah tidak bisa.",Sebuah rumah tidak memiliki roda atau motor.,Rumah tidak memiliki roda atau mesin.,Saya bisa masuk ke dalam rumah dan mobil saya.,Saya membayar banyak uang untuk rumah dan mobil saya.
2733,dia memberi kucingnya alkohol,dia memberi kucingnya susu,alkohol akan sangat fatal bagi kucing,Alkohol bukan bagian dari diet kucing biasa.,Kucing tidak minum alkohol.,orang menikmati minum alkohol dan memiliki kucing sebagai hewan peliharaan,alkohol sangat bagus di pesta-pesta
2735,Dia memukul bisbol dengan ponsel.,Dia memukul bisbol dengan tongkat baseball.,Tidak ada yang memukul bola bisbol dengan ponsel.,Sebuah ponsel kecil untuk memukul bola dengan,Ponsel tidak dapat digunakan untuk memukul bola.,Ponsel dapat mengambil gambar kelelawar bisbol.,Tongkat bisbol dapat menghancurkan ponsel.
2736,Ayah saya melahirkan saya.,Ibu saya melahirkan saya.,Hanya perempuan yang secara biologis mampu melahirkan.,Pria tidak bisa melahirkan.,laki-laki tidak bisa melahirkan bayi,Laki-laki memiliki peran yang sama dalam menciptakan anak.,Saya lahir di rumah ayah saya.
2737,Bob menanam beberapa tanaman di ranjangnya.,Bob menanam beberapa tanaman di kebunnya.,Tanaman perlu disiram tetapi akan membuat tempat tidur menjadi basah.,Tanaman membutuhkan air dan tanah yang tidak ditemukan di tempat tidur.,Tanaman harus tumbuh di tempat yang sudah tumbuh.,Tanaman bisa tetap hangat di tempat tidurnya di musim dingin.,Menanam tanaman di dalamnya dapat membuat udara lebih baik.
2738,SISTER SAYA MAKAN SEBESAR KAYU SETELAH SARAPAN SETIAP HARI,SISTER SAYA MAKAN APPLE SETELAH SARAPAN SETIAP HARI,TIDAK ADA YANG MAKAN SEPOTONG KAYU SEBAGAI MAKANAN,Kayu dimaksudkan untuk membuat artikel yang tidak dimaksudkan untuk makan,Tidak ada manusia yang bisa makan sepotong kayu.,BIASANYA BIASANYA DI BENTUK-BENTUK RECTANGLE HANYA SEPERTI BEBERAPA MAKANAN,KAYU TERLALU BESAR BAGI MULUT GADIS
2739,Bendera tingginya 20 pohon,Tinggi pohon itu 20 kaki,Pohon bukanlah satuan ukuran,"Pepohonan sangat besar, jadi tidak ada bendera yang sebesar itu",Bendera tidak setinggi pohon.,Bendera tidak boleh tinggi,Pohon tidak bisa diukur
2740,Ada laptop di lemari es.,Ada beberapa daging makan siang di lemari es.,Orang-orang menggunakan kulkas untuk mengawetkan makanan dan bukan dalam hal-hal organik seperti elektronik.,Laptop jangan disimpan di lemari es karena Anda tidak perlu membuatnya dingin.,Ada beberapa daging makan siang di lemari es.,Laptop adalah komputer pribadi yang tidak dimaksudkan untuk menjaga keadaan tetap dingin seperti lemari es.,Lemari es tidak memiliki alas mouse seperti halnya laptop.
2741,Dia pergi kencan dengan pohon.,Dia pergi kencan dengan pacar ini.,Pohon itu bukan manusia.,Pohon tidak bicara dan tidak bisa diberi tanggal.,Pohon bukan manusia dan karena itu tidak bisa diberi tanggal.,Pohon cenderung tinggi.,Pohon cenderung berada di satu tempat.
2743,Api menyala dengan air.,Api menyala dengan kayu bakar.,"Air tidak digunakan untuk bahan bakar, air digunakan untuk memadamkan.",Api tidak menggunakan air sebagai bahan bakar untuk tumbuh.,air memadamkan api,Air jatuh dari langit saat api padam.,Api dibuat menggosok air bersama-sama.
2744,dia memotong janggutnya dengan sendok,dia memotong janggutnya dengan pemangkas,sendok adalah alat dapur,Jenggot dipotong dengan trimmer tetapi tidak dengan sendok,Sendok tidak bisa memotong rambut.,Sendok sebagian besar berwarna abu-abu dan jenggot sebagian besar berwarna hitam,Beard tidak dapat mematahkan sendok
2745,dia tinggal di kandangnya,dia tinggal di rumahnya,manusia tidak bisa masuk ke dalam pena,Pena tidak cukup besar untuk hidup.,Pena terlalu kecil untuk memuat seseorang di dalamnya.,Pena sebagian besar berwarna biru dan dia tidak suka biru,ada banyak pulpen dan dia akan bingung mana pulpennya
2746,Dia membawa laptopnya yang rusak ke rumah sakit,Dia membawa laptopnya yang rusak ke pusat layanan,rumah sakit adalah tempat untuk mengobati pasien,rumah sakit tidak memiliki kapasitas untuk memperbaiki laptop,rumah sakit adalah untuk makhluk hidup,rumah sakit terlalu jauh dari rumahnya,Rumah sakit perlu janji dan dia tidak bisa memesan karena laptopnya sudah rusak
2747,Dia mengendarai labu.,Dia mengendarai mobil.,Labu tidak bisa didorong.,Labu adalah kendaraan catatan.,Labu dimakan tidak didorong,Labu adalah sayuran.,Labu berwarna oranye.
2748,Bumi itu datar.,Bumi itu bulat.,"Jika Anda berjalan sangat jauh dari bangunan tinggi di bumi, Anda tidak akan lagi melihat bagian bawahnya sementara di permukaan yang datar ini tidak akan terjadi.",Bumi tidak rata.,Bumi tidak rata karena tidak ada ujung atau ujung.,"Jika anda mendapatkan ban kempes, anda bisa menggantinya sendiri atau meminta seseorang untuk membantu anda dan beberapa orang baik dari bumi mungkin akan membantu.",Jika Anda berjalan sangat jauh dari kota-kota di bumi dan berbaring telentang dan menyaksikan langit malam Anda akan kagum dengan semua bintang yang akan Anda lihat.
2749,dia pergi ke bandara untuk mengejar kereta,dia pergi ke bandara untuk mengejar penerbangan,kereta biasanya berhenti di stasiun kereta api,kereta tidak ada di bandara,Kereta biasanya tidak di bandara.,Bandara biasanya terbuka sementara kereta selalu tertutup,kereta memiliki banyak kompartemen sementara bandara adalah lapangan terbuka
2750,Saya menempatkan kamar saya di jam saya.,Saya menaruh jam di kamar saya.,Kamar tidur tidak bisa muat di dalam jam.,Kamar tidur jauh lebih besar daripada di jam saya.,Kamar tidur jauh lebih besar dari jam.,Jamnya hitam dan kamarku putih.,Tidak ada pintu di jam saya.
2752,Dia pergi ke atap gedung apartemen untuk sampai ke kebun binatang,Dia berkeliling gedung apartemen untuk sampai ke kebun binatang,Kebun binatang tidak ada di atap gedung apartemen,Kebun binatang tidak ada di atap gedung apartemen.,Anda harus meninggalkan gedung apartemen melalui pintu untuk sampai ke kebun binatang.,Hewan takut ketinggian curam seperti rooves,Bangunan apartemen hanya bisa dimasuki oleh penghuni atau oleh tamu penghuni yang ditemani
2753,dia menyimpan uang di salon,dia menyimpan uang di bank,salon bukan lembaga keuangan,"Sebuah salon adalah tempat Anda membeli rambut, bukan untuk menghemat uang",Salon bukan tempat untuk menyimpan uang.,Salon memiliki gunting dan uang rusak dengan gunting,Salon selalu ramai karena ada sangat sedikit salon di kota
2754,ia mengenakan sepatu di tangan untuk berjalan,dia memakai sepatu di kaki untuk berjalan,Tidak ada yang memakai sepatu di tangan,Sepatu tidak bisa dipakai di tangan untuk berjalan.,Dia tidak bisa memakai sepatu di tangan untuk berjalan.,sepatu terbuat dari kulit sedangkan tangan adalah bagian dari tubuh manusia,sepatu sebagian besar berwarna hitam sedangkan warna tangan tergantung pada individu
2755,"Jika Anda ingin memancing, Anda harus pergi ke tempat pembuangan sampah",Jika anda ingin ikan anda harus pergi ke danau atau laut,Tidak ada air bagi ikan untuk hidup di tempat pembuangan sampah,"Tidak ada ikan di TPA, hanya sampah.",Anda membutuhkan air tawar untuk memancing.,Ikan di tempat pembuangan akhir mungkin terlalu kurus untuk ditangkap,Tempat pembuangan sampah terlalu bau untuk menjadi tempat yang baik untuk memancing
2756,Dia menulis dengan jarum di buku catatannya.,Dia menulis dengan pena di buku catatannya.,jarum tidak mengandung isi ulang yang diisi dengan tinta seperti pena.,Jarum untuk menjahit,Anda tidak dapat menulis dengan jarum,kedua jarum dan pena memiliki ujung runcing ujung runcing di ujungnya.,kedua ujung jarum dan pena berkilau.
2757,Aku mengambil api,saya mandi,"""Took fire"" tidak ada",Api bukanlah sesuatu yang bisa Anda ambil,api tidak bisa diambil,"Api dan panas, pancurannya basah",Mandi dapat berlangsung kapan saja Anda inginkan sementara api sangat panas
2758,Harimau minum nektar dari bunga.,Lebah minum nektar dari bunga.,Harimau adalah karnivora.,Harimau makan daging dan bukan nektar,Harimau tidak minum dari bunga.,"harimau berjalan di darat, sementara lebah terbang di udara.",harimau terlalu besar untuk minum dari bunga
2760,Makan adalah latihan yang sangat baik.,Berenang adalah latihan yang sangat baik.,Anda tidak membakar banyak kalori atau membangun otot ketika anda makan.,Makan tidak bisa adalah olahraga yang baik.,Makan bukan olahraga.,Anda perlu makan untuk berenang.,Berenang sangat melelahkan.
2761,Teko melempar dinamit ke penangkap.,Pelempar melempar bola ke penangkap.,Dinamit terlalu berbahaya untuk ditangkap,pitcher melemparkan pisau ke penangkap.,Permainan bisbol tidak termasuk dinamit.,"Dinamit itu tipis, enggak gemuk",Sebuah dinamit terbang menjauh ketika tertangkap
2762,Saya menaruh air di burger saya,Saya menaruh kecap di burger saya,Air bukanlah bumbu,Air bukanlah bahan yang digunakan dalam burger,Burger tidak bisa dimasukkan ke dalam air.,Airnya tidak beku,Air tidak bisa menjadi burger
2763,Ada ikan paus di ransel.,Ada seekor anjing di ranselnya.,Seekor paus tidak akan muat di tas ransel.,Paus tidak akan muat di tas ransel,Paus sangat besar untuk dimasukkan ke dalam ransel.,Paus adalah mamalia tetapi ransel memiliki ritsleting.,Paus tidak memakai ransel.
2764,Dia menelan sebuah rumah.,Dia menelan pil.,Rumah terlalu besar untuk ditelan.,Rumah tidak bisa ditelan.,Rumah jauh lebih besar daripada pil.,Anda tinggal di rumah.,Sebuah rumah dibangun.
2766,Dia menaruh pakaiannya di oven,Dia menaruh pakaiannya di lemari riasnya,"Oven digunakan untuk memanggang makanan, bukan menyimpan pakaian",Oven kotor dan tidak dilengkapi untuk penyimpanan pakaian.,Oven untuk memasak makanan.,Oven memiliki jumlah terbatas ruang,Oven terhubung ke listrik
2767,Kami membeli senyum.,Kami membeli harimau.,Senyum tidak bisa dibeli karena itu menggetarkan hati.,SENYUM BUKAN HAL UNTUK MEMBELI,Senyum tidak bisa dibeli,Harimau di alam liar manis karena kucing dan senyum itu murah.,Harimau suka tersenyum.
2768,Petani memerah susu ayam.,Petani memerah susu sapi.,Seekor ayam tidak menghasilkan susu ..,Ayam tidak bisa diperah.,Ayam tidak bisa diperah.,Ayam menghasilkan telur.,Sapi lebih besar dari ayam.
2769,Dia membeli kembang api dari deli.,Dia membeli sandwich dari deli.,Deli tidak menjual kembang api.,Deli hanya menjual makanan,Kembang api tidak dijual di deli,kembang api yang cantik di langit,kembang api harganya terlalu mahal
2770,Dia suka makan lumpur setiap hari,Dia suka minum susu setiap hari,Lumpur itu sangat kotor untuk dimakan,Lumpur tidak bisa dimakan.,Lumpur tidak bisa dimakan manusia.,Orang-orang memakai gaun dengan lumpur,Lumpur tidak dapat menghasilkan hujan
2771,Ikan berenang dalam api,Ikan berenang di air,Api akan membakar seekor ikan,Api akan membakar dan membunuh ikan.,Api akan membakar ikan.,Seekor ikan dapat melihat api yang membakar,Seekor ikan tidak bisa menggambar api
2772,Saya sering naik air.,Saya sering pergi berlibur.,Tidak mungkin menggunakan air.,Anda tidak bisa pergi ke air untuk liburan.,Tidak mungkin menggunakan air.,Air adalah cairan.,Liburan bagus.
2773,Anak itu sedang membaca buku dengan mata terpejam.,Anak itu sedang membaca buku dengan mata terbuka.,Anda tidak dapat membaca buku dengan mata tertutup.,Seseorang tidak dapat membaca buku dengan mata tertutup.,tidak ada yang bisa membaca dengan mata tertutup,Buku ini dapat dicetak dengan huruf tebal atau miring.,Anak itu mungkin belum cukup umur untuk membaca.
2774,Dia merokok kucing.,Dia merokok cerutu.,Tidak mungkin merokok kucing.,Kucing tidak pernah merokok.,Seekor kucing masih hidup.,Kucing bilang meong.,Kucing tidak tahu cara merokok
2775,Salju jatuh dari langit ketika panas di luar.,Salju jatuh dari langit ketika dingin di luar.,Salju tidak turun saat panas.,"Penciptaan salju membutuhkan air untuk membeku, yang hanya terjadi pada suhu dingin.",Salju hanya turun dari langit ketika dingin,Salju dapat mendinginkan Anda jika Anda panas.,Beberapa tempat dapat memiliki salju dan beberapa tempat dapat menjadi panas.
2776,Ada lima jari di tangan Anda.,Ada lima jari di tangan anda.,Jari kaki ada di kaki Anda.,Jari kaki tidak ada di tangan.,"Tanganmu memiliki jari, bukan jari kaki",Jari kaki itu aneh.,Anda memiliki lima jari.
2777,Dia menggunakan bensin untuk memadamkan api,Dia menggunakan air untuk memadamkan api,Bensin menyala dengan api,BENSIN DAPAT DIMUDAHKAN,"Bensin mudah terbakar sehingga akan memberi makan api, bukan memadamkannya.",bensin dingin sementara api sedang panas,api dapat dimulai dengan bensin
2778,Dia naik anjingnya ke sekolah.,Dia naik sepeda ke sekolah.,Anjingnya tidak bisa menopang berat badannya.,Anjing tidak bisa dikendarai.,Anjing biasanya bukan hewan peliharaan yang dikendarai orang.,Anjing tidak memiliki kursi seperti sepeda memiliki kursi.,Anjing tidak tahu jalan ke sekolah.
2780,Sebuah sepeda terbang di langit.,Sebuah pesawat terbang di langit.,Sepeda tidak memiliki struktur aerodinamis untuk terbang.,Sepeda terbang belum ditemukan.,Sepeda tidak memiliki sayap untuk terbang.,Sepeda memiliki dua roda sedangkan pesawat terbang memiliki dua sayap.,Sepeda tidak bisa melaju lebih cepat dari pesawat terbang.
2781,Saya pergi berbelanja untuk harapan.,Saya pergi berbelanja pakaian.,Harapan bukan barang nyata yang bisa dibeli.,Anda tidak dapat berbelanja untuk benda mati,Harapan adalah perasaan dan tidak bisa dibeli.,Adalah penting untuk menjaga harapan tetap hidup.,Semoga bisa hilang.
2782,anjing itu memberinya mandi,dia memandikan anjing itu,tidak mungkin bagi anjing untuk mandi manusia,Anjing tidak mandi.,anjing tidak punya tangan dan jari untuk mandi,Anjing ingin memandikan manusia tetapi tidak bisa karena dia tidak memiliki ibu jari yang berlawanan,anjing tidak bisa memegang sabun ...
2783,Dia meletakkan hiu di atas meja.,Dia menaruh piring di atas meja.,Hiu tidak bisa berenang di atas meja.,Meja bukanlah tempat yang aman atau masuk akal untuk hiu.,Anda tidak dapat mengatur hiu di atas meja.,Seekor hiu memiliki gigi sementara meja memiliki kursi.,Hiu tidak bisa duduk di meja.
2784,Dia makan buku.,Dia makan jeruk.,Orang tidak bisa makan buku.,"Buku bukan makanan,",Buku bukan makanan.,Buku memiliki banyak informasi.,Buku sering digunakan sebagai referensi.
2785,Perahu digunakan untuk mengemudi di jalan.,Kapal digunakan untuk berlayar di laut.,Kapal tidak memiliki roda.,Perahu tidak punya ban.,Perahu tidak memiliki roda untuk digerakkan di jalan.,Berlayar di atas kapal adalah cara yang bagus untuk menghabiskan waktu.,Perahu tidak mampu berpikir manusia.
2786,Saya membawa kucing yang menggonggong keras,Saya membawa kucing yang menyalak.,Kucing tidak menggonggong,Kucing tidak menggonggong.,Kucing tidak mengonggong,Catas tidak sering menggonggong,Kulit kucing saat menyusui
2787,Duduk dianggap berolahraga.,Berolahraga itu menantang.,Duduk tidak membutuhkan usaha.,Duduk tidak cukup untuk berolahraga,Duduk tidak membakar kalori.,Berolahraga tidak menarik.,Duduk itu menyita waktu.
2788,Dia mengendarai mobilnya dengan kakinya,Dia mengendarai mobilnya dengan tangannya,Anda tidak dapat mengemudi dengan kaki Anda karena Anda tidak memiliki kontrol dan itu ilegal,Orang-orang menggunakan tangan mereka dan bukan kaki mereka untuk mengendarai mobil.,Mobil berat untuk bergerak dengan kaki Anda.,mobil lebih besar daripada orang,pria memiliki kaki lebih besar dari wanita
2791,Batuan menjadi smoothie,Pisang pergi ke smnoothies,Batuan tidak enak dan tidak bisa dimakan.,Orang tidak bisa makan batu.,Anda tidak makan batu.,Pisang menjadi cokelat setelah beberapa waktu,batu terkadang terbuat dari batu kapur
2792,Seekor ikan berjalan di darat,Seekor ikan berenang di air,Ikan tidak memiliki kaki,Seekor ikan berenang di air.,Seekor ikan tidak memiliki kaki sehingga tidak bisa berjalan,Seekor ikan tidak bisa membeli sepatu,Seekor ikan tidak pernah belajar cara berjalan
2793,Dia mengenakan unta.,Dia mengenakan rok.,Unta bukan pakaian.,CAMEL BUKAN ROK UNTUK LEBIH BANYAK,unta tidak dipakai,Seekor unta berasal dari padang pasir.,Seekor unta memiliki punuk.
2794,Saya menerbangkan kuda nil tahun lalu.,Saya menerbangkan pesawat tahun lalu.,Kuda nil tidak terbang.,Kuda nil tidak bisa terbang.,Kuda nil tidak terbang.,Saya suka pergi ke kebun binatang untuk menatap kuda nil.,Kuda nil mungkin merupakan cara terbaik untuk bepergian ribuan tahun yang lalu.
2796,Kucing mengarahkan kapal di sekitar batu.,Kapten mengarahkan kapal di sekitar batu.,Seekor kucing tidak bisa mengarahkan kapal.,kucing tidak memiliki banyak kecerdasan dan kekuatan otot,KUCING BUKAN KAPTEN UNTUK KAPAL DI SEKITARNYA,"Kucing takut air, sementara kapten menyukai air.",Kucing terlalu pendek untuk mencapai roda di kapal.
2797,Ada kancing di ayamnya,Ada kancing di bajunya,Tombol pada kemeja tapi tidak pada ayam,Ayam tidak memiliki tombol.,Ayam tidak memiliki tombol,Tombol bulat,Ayam bertelur
2798,Dia membawa kucing itu ke garasi ketika dia sakit,Dia membawa kucing itu ke dokter hewan ketika dia sakit,Garasi bukan tempat yang tepat untuk mendapatkan bantuan bagi kucing yang sakit,"Garasi tidak memiliki peralatan, peralatan, atau personel untuk merawat kucing.",Anda membawa kucing ke dokter hewan ketika mereka sakit.,Garasi lebih menyenangkan daripada dokter hewan untuk kucing,"Seekor kucing suka mengejar benang, bukan mobil"
2799,Dia menyeka tubuhnya dengan batu,Dia menyeka tubuhnya dengan handuk,batu tidak menyerap air,Batu tidak baik untuk dibersihkan.,Sebuah batu tidak akan membersihkan tubuh Anda dan akan melukai.,batu tidak bisa membungkus handuk,batu lebih berat dari handuk
2800,Saya akan memainkan lagu di atas meja saya ..,Saya akan memainkan lagu itu di piano saya.,Anda tidak dapat memutar lagu di atas meja.,Tabel tidak bisa bermain musik,Sebuah meja bukanlah suatu insting musikal.,Meja saya bulat.,Meja saya tidak bisa bersuara.
2802,Seekor sapi sedang makan daging,Seekor sapi sedang makan rumput,Sapi adalah hewan herbivora,Sapi bukan karnivora.,Sapi adalah vegetarian.,Sapi tidak menggunakan kartu kredit untuk membeli rumput,Sapi memiliki gigi lebih besar dari manusia
2805,Langit terbuat dari berlian,Langit biru.,"Langit terbuat dari air, oksigen, dan bukan berlian.",langit bukan logam,Langit tidak terbuat dari benda padat.,Lucy di langit dengan berlian adalah sebuah lagu.,Berlian tidak bisa mengapung.
2810,Paku adalah sepotong kecil logam yang dimasukkan ke dalam kunci dan diputar untuk membuka atau menutupnya,Kunci adalah sepotong kecil logam yang dimasukkan ke dalam kunci dan diputar untuk membuka atau menutupnya,Biasanya orang menggunakan kunci untuk membuka kunci,Kegunaan utama kuku adalah untuk menempelkan benda apa pun ke benda lain.,Paku bukan sepotong kecil logam yang dimasukkan ke dalam kunci dan diputar untuk membuka atau menutupnya,Biasanya kuku terbuat dari besi,Kuku dapat digunakan untuk menggantung sesuatu di dinding
2812,Piano memiliki 6 senar.,Gitar memiliki 6 senar.,Piano tidak memiliki dawai.,Piano memiliki lebih banyak dawai.,piano bukanlah instrumen dawai,"Gitar ada di pangkuan Anda, sementara piano ada di atas dudukan.",Gitar tidak berbentuk seperti piano.
